firstAffiliation,nation,city_state,cleaned_city_state
"department of anesthesia, critical care and pain medicine, massachusetts general hospital, boston.",usa," response: boston, ma","boston, ma"
"department of pediatrics, children's hospital of georgia and medical college of georgia at augusta university, augusta.",usa," augusta, ga","augusta, ga"
"department of medicine, university of medicine and dentistry of new jersey-rutgers, newark.",usa," newark, nj

Here are some","newark, nj"
"department of neonatal medicine, montpellier university hospital, montpellier, france.",france,,
"department of neonatal medicine, nantes university hospital, nantes, france.",france,,
"department of neonatal medicine, rouen university hospital, rouen, france.",france,,
"department of neurology, the 902nd hospital of the people's liberation army, bengbu, china.",china,,
"department of neurology, the fifth people's hospital of chengdu, chengdu, china.",china,,
"division of cardiology, general hospital murska sobota, murska sobota, slovenia.",slovenia,,
"department of neurology, affiliated hangzhou first people's hospital, zhejiang university school of medicine, hangzhou, china.",china,,
"department of neurology, the first affiliated hospital of jilin university, changchun, china.",china,,
"department of neurology, wuyi hospital of traditional chinese medicine, jiangmen, china.",china,,
"department of neurology, yongchuan hospital of chongqing medical university, chongqing key laboratory of cerebrovascular disease research, yongchuan, china.",china,,
"department of neurology, xianyang hospital of yan'an university, xianyang, china.",china,,
"department of neurosurgery, xianyang hospital of yan'an university, xianyang, china.",china,,
"department of cerebrovascular diseases, leshan people's hospital, leshan, china.",china,,
"division of cardiac surgery, university of ottawa heart institute, ottawa, ontario, canada.",canada,,
"department of neurology, the affiliated hospital of yangzhou university, yangzhou, china.",china,,
"zena and michael a. wiener cardiovascular institute, icahn school of medicine at mount sinai, new york, new york.",usa," new york, new york.","new york, new york."
"division of cardiac surgery, boca raton regional hospital and florida atlantic hospital, boca raton.",usa," response: boca raton, fl

","boca raton, fl"
"schulich heart centre, sunnybrook health sciences centre, university of toronto, toronto, ontario, canada.",canada,,
"division of cardiology, university of florida college of medicine, jacksonville.",usa," jacksonville, fl

So the function","jacksonville, fl"
"department of epidemiology, dartmouth college, hanover, new hampshire.",usa," hanover, new hampshire.","hanover, new hampshire."
"kingston and st george's, university of london, king's college london, london, england.",united kingdom,,
"department of neurology, huainan first people's hospital, huainan, china.",china,,
"department of neurology, qianxinan people's hospital, xingyi, china.",china,,
"department of neurology, kaizhou district people's hospital, kaizhou, china.",china,,
"department of neurology, affiliated hospital of traditional chinese medicine of southwest medical university, luzhou, china.",china,,
"department of neurology, the first affiliated hospital of fujian medical university, fuzhou, china.",china,,
"department of neurology, the third people's hospital of zigong, zigong, china.",china,,
"department of neurology, hubei provincial hospital of traditional chinese medicine, wuhan, china.",china,,
"department of neurology, chongqing university three gorges central hospital, wanzhou, china.",china,,
"department of neurology, shanxi provincial people's hospital, taiyuan, china.",china,,
"department of neurology, jingdezhen first people's hospital, jingdezhen, china.",china,,
"department of neurointervention, luoyang central hospital, luoyang, china.",china,,
"department of neurology, xuzhou central hospital, xuzhou, china.",china,,
"department of neurology, the first affiliated hospital of henan science and technology university, luoyang, china.",china,,
"department of neurology, the first people's hospital of yunnan province, kunming, china.",china,,
"department of neurology, the first affiliated hospital of university of science and technology of china, hefei, china.",china,,
"department of neurology, danzhai county people's hospital, danzhai, china.",china,,
"department of neurology, banan district people's hospital, banan, china.",china,,
"sorbonne université, institute of cardiometabolism and nutrition, paris, france.",france,,
"yong loo lin school of medicine, national university of singapore, singapore, republic of singapore.",singapore or republic of singapore.,,
"division of critical care, department of medicine, mcmaster university, hamilton, ontario, canada.",canada,,
"university of bristol and university hospitals bristol and weston nhs foundation trust, bristol, england.",uk (united kingdom),,
university of texas southwestern medical center at dallas.,usa," Dallas, tx

So the function would look","Dallas, tx"
"atrium health, charlotte, north carolina.",usa," charlotte, north carolina.","charlotte, north carolina."
"departments of pediatrics and epidemiology, university of washington, and seattle children's research institute, seattle.",usa," Seattle, wa

(Note: In this","Seattle, wa"
"hunter pain specialists, broadmeadow, australia.",australia,,
"mount sinai hospital icahn school of medicine, new york, new york.",usa," new york, new york.","new york, new york."
"cancercare manitoba, winnipeg, canada.",canada,,
"women's health initiative clinical coordinating center, fred hutchinson cancer center, seattle, washington.",usa," Seattle, washington.","Seattle, washington."
"department of medicine, warren alpert medical school of brown university, providence, rhode island.",usa," response: providence, ri.","providence, ri."
"department of dermatology, beijing children's hospital of capital medical university, beijing, china.",china,,
